WaitingList,Program,Gender,TextEditor,Matlab,R,Github,Excel,SQL,SPSS,ggplot2,shell,C,Python,Stata,Latex,lattice,grep,Sweave,XML,Web,Dropbox,GoogleDrive,R_DataManipulationModelingExperience,R_GraphicsExperience,R_AdvDataAnalysisExperience,R_ReproducibleDocExperience,MatlabExperience,GithubExperience,SumExperience,RProgramExperience
1,No,IDSE (master),she/her,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,2,1,1,1,0,8,6
2,No,Other masters,he/him,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,1,1,1,6,5
3,No,Data Science Certification,he/him,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,3,2,2,3,2,2,14,10
4,No,IDSE (master),he/him,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5,0
5,No,IDSE (master),he/him,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,2,2,1,0,0,6,7
6,No,IDSE (master),he/him,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,6,2
7,Yes,Statistics (master),he/him,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,2,2,1,0,2,2,9,5
8,No,QMSS (master),"doesnt matter,havent used any",1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,3,7,4
9,No,IDSE (master),he/him,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0
10,No,IDSE (master),he/him,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,2,1,0,2,0,1,10,5
11,No,IDSE (master),he/him,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,1,0,2,1,0,5,5
12,No,IDSE (master),he/him,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,2,2,2,2,0,5,8
13,No,IDSE (master),he/him,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,3,2,3,2,2,2,12,10
14,Yes,Statistics (master),he/him,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,3,2,2,1,0,3,7,8
15,Yes,Statistics (master),she/her,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,1,1,4,3
16,No,QMSS (master),she/her,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,2,2,1,3,1,1,12,8
17,No,Other masters,she/her,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,1,2,1,1,6,7
18,No,IDSE (master),she/her,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,4,6
19,No,Statistics (master),she/her,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,5,4
20,No,IDSE (master),he/him,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,2,1,2,0,0,9,6
21,No,IDSE (master),he/him,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,3,2,2,3,2,2,14,10
22,No,IDSE (master),he/him,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,2,2,1,1,1,1,8,6
23,No,IDSE (master),he/him,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,2,2,2,2,1,2,11,8
24,Yes,Statistics (master),she/her,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,2,5
25,No,IDSE (master),she/her,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,5,4
26,Yes,Statistics (master),she/her,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,2,0,0,4,6
27,No,IDSE (master),he/him,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,2,2,1,1,1,2,12,6
28,No,IDSE (master),he/him,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,3,6
29,Yes,Statistics (master),he/him,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,6,4
30,No,Data Science Certification,he/him,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,4,2
31,No,QMSS (master),he/him,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2,2,2,1,1,2,15,7
32,No,IDSE (master),she/her,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,2,2,2,1,1,1,8,7
33,No,Other masters,he/him,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0,6,6
34,Yes,Other masters,she/her,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,1,1,2,2,6,6
35,No,IDSE (master),he/him,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,2,2,1,3,2,2,13,8
36,No,IDSE (master),he/him,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,2,2,1,3,1,2,9,8
37,No,IDSE (master),he/him,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2,2,1,1,2,1,8,6
38,No,IDSE (master),he/him,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,6,5
39,No,Data Science Certification,he/him,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,2,1,0,0,2,0,9,3
40,Yes,Statistics (master),she/her,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,2,0,1,1,4,6
41,No,IDSE (master),he/him,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,2,2,2,1,0,2,9,7
42,Yes,Statistics (master),he/him,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,4,7
43,No,IDSE (master),he/him,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,2,1,1,1,2,2,9,5
44,No,IDSE (master),he/him,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,2,1,1,1,2,2,9,5
45,Yes,Statistics (master),she/her,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,1,1,1,5,9
46,No,IDSE (master),he/him,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,5,4
47,No,IDSE (master),he/him,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,2,2,1,1,0,7,8
48,Yes,Statistics (master),she/her,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,4
49,Yes,Statistics (master),he/him,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,3,2,3,1,3,2,10,9
50,No,IDSE (master),she/her,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,2,1,1,0,6,7
51,No,IDSE (master),he/him,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,2,1,0,6,6
