Student ID,Waiting List,Program,Matlab,R,Github,Excel,SQL,Rstudio,SPSS,ggplot2,shell (terminal / command line),C/C++,Python,Stata,LaTeX,lattice,regular expressions (grep),Sweave/knitr,XML,Web: html css js,dropbox,google drive (formerly docs),R Experience Data Modeling,Gender,Code Editor Used,R Experience Graphics,R Experience Advanced,R Experience Reproducible document,Matlab Experience,Github Experience
1,No,IDSE (master),FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,she/her,RStudio,Confident,A little,A little,A little,None
2,No,Other masters,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,he/him,RStudio,A little,A little,A little,A little,A little
3,No,Data Science Certification,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Expert,he/him,Atom,Confident,Confident,Expert,Confident,Confident
4,No,IDSE (master),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,None,he/him,Sublime,None,None,None,None,None
5,No,IDSE (master),FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,he/him,textwrangler,Confident,Confident,A little,None,None
6,No,IDSE (master),TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A little,he/him,sublime text 2,None,None,A little,A little,A little
7,Yes,Statistics (master),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,he/him,RStudio,Confident,A little,None,Confident,Confident
8,No,QMSS,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A little,doesn't matter,haven't used any,None,A little,A little,A little,None
9,No,IDSE (master),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,None,he/him,Stata,None,None,None,None,None
10,No,IDSE (master),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Confident,he/him,RStudio,A little,None,Confident,None,A little
